impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,7.036,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.369708,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,1.76829,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.051542,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,749.29,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,4001.45,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,53.0589,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,73.959,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,406.197,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,6.80217,393216,131072,131072,131072,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.002125,39,13,13,13,0
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.002084,39,13,13,13,0
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.012666,39,13,13,13,0
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.000791,39,13,13,13,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1576.75,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,7.68987,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,37.4496,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,0.826791,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,24.9384,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.761375,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,3.795,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.108792,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,157.267,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,928.103,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,13.6763,786432,262144,262144,262144,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,6492.13,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,16.4348,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,87.0604,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,1.65271,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,98.3244,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,1.63871,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,8.34367,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.218791,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,334.41,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,1841.83,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,26.6276,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,35.2707,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,192.824,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,3.36283,196608,65536,65536,65536,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,396.953,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,3.56496,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,17.6751,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,0.412833,24576,8192,8192,8192,0
